team,category,iff,archive,offset,size,resolved,label,crc32
misc,atlases,disc_49877f67.iff,0A,0x11689800,0x1A6CEB,1,Atlas (52 tiles) - 512x512,0x49877F67
misc,atlases,disc_794a3eec.iff,0A,0x228F2800,0xD2E408,1,Atlas (61 tiles) - 256x256,0x794A3EEC
misc,atlases,disc_8167dd16.iff,0A,0x2510B000,0x9850E7,1,Atlas (18 tiles) - 512x512,0x8167DD16
misc,atlases,disc_8aa56b76.iff,0A,0x1E534800,0xD40022,1,Atlas (64 tiles) - 1024x512,0x8AA56B76
misc,atlases,disc_b54d0d90.iff,0A,0x14470800,0xD9F697,1,Atlas (65 tiles) - 1024x512,0xB54D0D90
misc,atlases,disc_b7c542c6.iff,0A,0x1D7F4000,0xD4001B,1,Atlas (64 tiles) - 1024x512,0xB7C542C6
misc,atlases,disc_d51983b6.iff,0A,0x3334D800,0xEBFB6E,1,Atlas (66 tiles) - 256x256,0xD51983B6
misc,atlases,disc_e879aa06.iff,0A,0x32519000,0xE343AB,1,Atlas (67 tiles) - 256x256,0xE879AA06
misc,atlases,disc_f0653816.iff,0A,0x1CAB3800,0xD40032,1,Atlas (64 tiles) - 1024x512,0xF0653816
misc,banners,disc_02b3bb40.iff,0A,0x35DA1000,0x68165,1,Banner / scoreboard - 1024x4096,0x02B3BB40
misc,banners,disc_02b74ca8.iff,0A,0x358FA000,0x596FB,1,Banner / scoreboard - 1024x4096,0x02B74CA8
misc,banners,disc_08d27e04.iff,0A,0x37DAF000,0x3B261,1,Banner / scoreboard - 1024x512,0x08D27E04
misc,banners,disc_20159c65.iff,0A,0x36C90800,0x5F31C,1,Banner / scoreboard - 1024x4096,0x20159C65
misc,banners,disc_23a94193.iff,0A,0x36807800,0x40FB9,1,Banner / scoreboard - 1024x4096,0x23A94193
misc,banners,disc_23d117d9.iff,0A,0x366B7800,0x407C7,1,Banner / scoreboard - 1024x4096,0x23D117D9
misc,banners,disc_2daec5a4.iff,0A,0x37798000,0x3B261,1,Banner / scoreboard - 1024x512,0x2DAEC5A4
