base,file_off,w,h,fmt,mip0,foot
0,13082624,1024,128,DXT4_5,131072,245760
256,13328384,1024,128,DXT4_5,131072,245760
512,13574144,1024,128,DXT4_5,131072,245760
768,13819904,1024,128,DXT4_5,131072,245760
1024,14065664,256,256,DXT4_5,65536,131072
1280,14196736,128,128,DXT1,8192,32768
1536,14229504,512,512,DXN,262144,393216
2048,14671872,256,256,DXT4_5,65536,131072
2304,14802944,256,256,DXT4_5,65536,131072
2816,14983168,128,128,8,16384,28672
3072,15011840,256,256,DXT4_5,65536,131072
3328,15142912,512,512,DXN,262144,393216
3584,15536128,512,512,DXN,262144,393216
3840,15929344,256,256,DXT4_5,65536,131072
4096,16060416,128,128,8,16384,28672
4352,16089088,512,512,DXN,262144,393216
4608,16482304,256,256,DXT4_5,65536,131072
4864,16613376,256,256,DXT4_5,65536,131072
5120,16744448,256,256,DXT4_5,65536,131072
3425664,32092160,512,512,DXN,262144,393216
5234048,32485376,256,256,DXT5A,32768,65536
5234304,32550912,128,128,DXT4_5,16384,65536
5234560,32616448,256,256,DXT5A,32768,65536
5234816,32681984,256,256,DXT5A,32768,65536
5235072,32747520,256,256,DXT5A,32768,65536
5235328,32813056,128,128,8,16384,28672
5235584,32841728,128,128,8,16384,28672
5235840,32870400,256,256,DXT5A,32768,65536
5236096,32935936,512,512,DXN,262144,393216
5236352,33329152,128,128,8,16384,28672
5236608,33357824,256,256,DXT4_5,65536,131072
5236864,33488896,256,256,DXT4_5,65536,131072
5237120,33619968,512,512,DXN,262144,393216
5237376,34013184,512,512,DXN,262144,393216
5237632,34406400,128,128,DXT1,8192,32768
5237888,34439168,128,128,8,16384,28672
5238144,34467840,128,128,8,16384,28672
5238400,34496512,256,256,DXT4_5,65536,131072
5238656,34627584,512,512,DXN,262144,393216
5238912,35020800,128,128,8,16384,28672
5239168,35049472,256,256,DXT4_5,65536,131072
5239424,35180544,256,256,DXT5A,32768,65536
5239680,35246080,512,512,DXN,262144,393216
5239936,35639296,512,512,DXN,262144,393216
5240192,36032512,256,256,DXT5A,32768,65536
5240448,36098048,256,256,DXT4_5,65536,131072
5240704,36229120,128,128,8,16384,28672
5241216,36290560,256,256,DXT4_5,65536,131072
5241472,36421632,128,128,8,16384,28672
5241728,36450304,512,512,DXN,262144,393216
5241984,36843520,128,128,8,16384,28672
5243264,36872192,256,256,DXT4_5,65536,131072
5243520,37003264,256,256,DXT1,32768,65536
5243776,37068800,256,256,DXT1,32768,65536
5244032,37134336,256,256,DXT1,32768,65536
5244288,37199872,128,128,DXT1,8192,32768
5244544,37232640,128,128,8,16384,28672
5244800,37261312,128,128,8,16384,28672
5245056,37289984,128,128,8,16384,28672
5245312,37318656,256,256,DXT1,32768,65536
5245568,37384192,256,256,DXT1,32768,65536
5245824,37449728,256,256,DXT1,32768,65536
5246080,37515264,256,256,DXT1,32768,65536
5246336,37580800,128,128,8,16384,28672
5246592,37609472,128,128,DXT1,8192,32768
5246848,37642240,64,64,565,8192,16384
5247104,37658624,128,128,8,16384,28672
5247360,37687296,128,128,8,16384,28672
5247616,37715968,256,256,DXT1,32768,65536
5247872,37781504,256,256,DXT4_5,65536,131072
5248128,37912576,256,256,DXT1,32768,65536
5248384,37978112,256,256,DXT4_5,65536,131072
5248640,38109184,128,128,8,16384,28672
5248896,38137856,128,128,8,16384,28672
5249152,38166528,512,512,DXT4_5,262144,393216
5249408,38559744,128,128,8,16384,28672
5249664,38588416,128,128,8,16384,28672
5249920,38617088,64,64,8,4096,12288
5250176,38629376,256,256,DXT1,32768,65536
5250432,38694912,256,256,DXT5A,32768,65536
5250688,38760448,256,256,DXN,65536,131072
5250944,38891520,256,256,DXN,65536,131072
5251200,39022592,256,256,DXN,65536,131072
5251456,39153664,256,256,DXN,65536,131072
5251712,39284736,256,256,DXN,65536,131072
5251968,39415808,512,512,DXT5A,131072,196608
5252224,39612416,256,256,DXN,65536,131072
5252480,39743488,256,256,DXN,65536,131072
5252736,39874560,256,256,DXN,65536,131072
5252992,40005632,256,256,DXN,65536,131072
5253248,40136704,256,256,DXN,65536,131072
5253504,40267776,256,256,DXN,65536,131072
5253760,40398848,256,256,DXN,65536,131072
5254016,40529920,256,256,DXT4_5,65536,131072
5254272,40660992,512,512,DXN,262144,393216
5254528,41054208,256,256,DXT4_5,65536,131072
