crc32,name,archive,local_off,size,exposed,newly
0x063E336B,Director.iff,0A,0x3ACF000,192267,False,True
0x099F9A9D,HighlightCreate.iff,0B,0x3727B800,2095720,True,False
0x692BB8E3,arena_ana.iff,0A,0x5838000,6282554,True,False
0x33F65DAF,arena_atl.iff,0A,0x5E36000,6709691,True,False
0x89BFB539,arena_bos.iff,0A,0x649C800,7473452,True,False
0x83F28C36,arena_buf.iff,0A,0x6BBD800,6142246,True,False
0x28A2F64D,arena_car.iff,0A,0x7199800,6595446,True,False
0xFEA658A0,arena_cbj.iff,0A,0x77E4000,7296667,True,False
0x892B2441,arena_cgy.iff,0A,0x7ED9800,5990322,True,False
0x189D0116,arena_chi.iff,0A,0x8490000,7199269,True,False
0xCD78BEDE,arena_col.iff,0A,0x8B6E000,7357478,True,False
0x32D5E120,arena_dal.iff,0A,0xA291800,6988270,True,False
0xF9D47F75,arena_det.iff,0A,0xA93C000,5595934,True,False
0xF90F5297,arena_edm.iff,0A,0xAE92800,5895823,True,False
0xE1442766,arena_fla.iff,0A,0xB432000,6611594,True,False
0xB31A7357,arena_lak.iff,0A,0xBF7D000,6481627,True,False
0x31DE75FE,arena_min.iff,0A,0xC5AB800,7013933,True,False
0xF45637DB,arena_mtl.iff,0A,0xD1F9000,6052479,True,False
0xCC12056C,arena_njd.iff,0A,0xD7BF000,7143322,True,False
0x2D3BBB3E,arena_nsh.iff,0A,0xDE8F000,6309063,True,False
0xB1C0B1E8,arena_nyi.iff,0A,0xE493800,6013609,True,False
0xA6F0177B,arena_nyr.iff,0A,0xEA50000,7430860,True,False
0x3359FAB1,arena_ott.iff,0A,0xF166800,5394041,True,False
0x4EAB8745,arena_phi.iff,0A,0xF68B800,6416014,True,False
0xC1EB72E5,arena_pho.iff,0A,0xFCAA000,6749491,True,False
0x1D8707D3,arena_pit.iff,0A,0x1031A000,5503210,True,False
0xB1765678,arena_presentation_ana.iff,0A,0x42CD000,170618,True,False
0xEBABB334,arena_presentation_atl.iff,0A,0x42F7000,115486,True,False
0x51E25BA2,arena_presentation_bos.iff,0A,0x4313800,93208,True,False
0x5BAF62AD,arena_presentation_buf.iff,0A,0x432A800,345587,True,False
0xF0FF18D6,arena_presentation_car.iff,0A,0x437F000,373265,True,False
0x26FBB63B,arena_presentation_cbj.iff,0A,0x43DA800,230876,True,False
0x5176CADA,arena_presentation_cgy.iff,0A,0x4413000,98252,True,False
0xC0C0EF8D,arena_presentation_chi.iff,0A,0x442B000,117141,True,False
0x15255045,arena_presentation_col.iff,0A,0x4448000,530037,True,False
0xEA880FBB,arena_presentation_dal.iff,0A,0x452E000,316542,True,False
0x218991EE,arena_presentation_det.iff,0A,0x457B800,335561,True,False
0x2152BC0C,arena_presentation_edm.iff,0A,0x45CD800,139205,True,False
0x3919C9FD,arena_presentation_fla.iff,0A,0x45EF800,93210,True,False
0x3AC58D7A,arena_presentation_generic.iff,0A,0x4606800,136031,True,False
0x6B479DCC,arena_presentation_lak.iff,0A,0x463F000,454362,True,False
0xE9839B65,arena_presentation_min.iff,0A,0x46AE000,243294,True,False
0x2C0BD940,arena_presentation_mtl.iff,0A,0x46EA000,191199,True,False
0x144FEBF7,arena_presentation_njd.iff,0A,0x4719000,155337,True,False
0xF56655A5,arena_presentation_nsh.iff,0A,0x473F000,853507,True,False
0x699D5F73,arena_presentation_nyi.iff,0A,0x480F800,93210,True,False
0x7EADF9E0,arena_presentation_nyr.iff,0A,0x4826800,98894,True,False
0xEB04142A,arena_presentation_ott.iff,0A,0x483F000,109179,True,False
0x96F669DE,arena_presentation_phi.iff,0A,0x485A000,168014,True,False
0x19B69C7E,arena_presentation_pho.iff,0A,0x4883800,297973,True,False
0xC5DAE948,arena_presentation_pit.iff,0A,0x48CC800,82974,True,False
0xC0865D6B,arena_presentation_sjs.iff,0A,0x48E1800,566605,True,False
0x1BEA3ED3,arena_presentation_stl.iff,0A,0x496C800,93225,True,False
0x0BC2E1DB,arena_presentation_tbl.iff,0A,0x4983800,58749,True,False
0x688CDBE6,arena_presentation_tor.iff,0A,0x4992000,169922,True,False
0x6009D13C,arena_presentation_van.iff,0A,0x49BB800,378268,True,False
0x07208CB8,arena_presentation_wsh.iff,0A,0x4A19000,127830,True,False
0x18DBB3F0,arena_sjs.iff,0A,0x10FCA000,7075053,True,False
