team,category,iff,archive,offset,size,resolved
ana,logo,logo_ana.iff,0B,0x18AD1800,0xD364,1
ana,uniform_base_home,uniform_base_ana_home.iff,0A,0x3B304000,0x17925F,1
ana,uniform_base_away,uniform_base_ana_away.iff,0A,0x3A92B000,0x17BA23,1
ana,uniform_base_alt,uniform_base_ana_alt.iff,,,,0
ana,uniform_overlay_home,uniform_ana_home.iff,0A,0x39649800,0x1E7CA2,1
ana,uniform_overlay_away,uniform_ana_away.iff,0A,0x38900800,0x1E7EA9,1
ana,uniform_overlay_alt,uniform_ana_alt.iff,,,,0
ana,ice,ice_ana_playoffs.iff,0A,0x350DB000,0x5BB7D,1
ana,ice,ice_ana_finals.iff,0A,0x35080000,0x5AAF4,1
ana,rink,rink_ana.iff,0A,0x15210000,0xD3817C,1
ana,led,led_ana.iff,0A,0x4A6C800,0x33C5C,1
ana,arena_presentation,arena_presentation_ana.iff,0A,0x42CD000,0x29A7A,1
ana,arena,arena_ana.iff,0A,0x5838000,0x5FDD3A,1
ana,zamboni,zamboni_ana.iff,0A,0x36E43800,0x2F865,1
ana,zamboni_team,zamboni_team_ana.iff,0A,0x375B9800,0x34384,1
atl,logo,logo_atl.iff,0B,0x18AF7800,0xE6B2,1
atl,uniform_base_home,uniform_base_atl_home.iff,0A,0x3BA59000,0x17940A,1
atl,uniform_base_away,uniform_base_atl_away.iff,0A,0x3B5F1000,0x17CB70,1
atl,uniform_base_alt,uniform_base_atl_alt.iff,0A,0x3B47D800,0x173477,1
atl,uniform_overlay_home,uniform_atl_home.iff,0A,0x3A033800,0x212F59,1
atl,uniform_overlay_away,uniform_atl_away.iff,0A,0x39A1F800,0x212E46,1
atl,uniform_overlay_alt,uniform_atl_alt.iff,0A,0x39831800,0x1EDF81,1
atl,ice,ice_atl_playoffs.iff,0A,0x3519E800,0x68470,1
atl,ice,ice_atl_finals.iff,0A,0x35137000,0x673E3,1
atl,rink,rink_atl.iff,0A,0x15F48800,0xD393A3,1
atl,led,led_atl.iff,0A,0x4AA0800,0x3C02D,1
atl,arena_presentation,arena_presentation_atl.iff,0A,0x42F7000,0x1C31E,1
atl,arena,arena_atl.iff,0A,0x5E36000,0x6661BB,1
atl,zamboni,zamboni_atl.iff,0A,0x36E73800,0x2F865,1
atl,zamboni_team,zamboni_team_atl.iff,0A,0x375EE000,0x357AD,1
bos,logo,logo_bos.iff,0B,0x18B36800,0xCB11,1
bos,uniform_base_home,uniform_base_bos_home.iff,0A,0x3C721800,0x168C88,1
bos,uniform_base_away,uniform_base_bos_away.iff,0A,0x3C2E2000,0x16B8C2,1
bos,uniform_base_alt,uniform_base_bos_alt.iff,0A,0x3C17F000,0x162A20,1
bos,uniform_overlay_home,uniform_bos_home.iff,0A,0x540D0800,0x24ECB9,1
bos,uniform_overlay_away,uniform_bos_away.iff,0A,0x53A2E800,0x24ECCA,1
bos,uniform_overlay_alt,uniform_bos_alt.iff,0A,0x537F2800,0x23BD3F,1
bos,ice,ice_bos_playoffs.iff,0A,0x35269800,0x6318D,1
bos,ice,ice_bos_finals.iff,0A,0x35207000,0x62101,1
bos,rink,rink_bos.iff,0A,0x16C82000,0xD9D4C8,1
bos,led,led_bos.iff,0A,0x4ADD000,0x32E87,1
bos,arena_presentation,arena_presentation_bos.iff,0A,0x4313800,0x16C18,1
bos,arena,arena_bos.iff,0A,0x649C800,0x72092C,1
bos,zamboni,zamboni_bos.iff,0A,0x36EA3800,0x2F865,1
bos,zamboni_team,zamboni_team_bos.iff,0A,0x37623800,0x33F70,1
