crc32,name,family,archive,local_off,size,ntex,dims,fmt
0xE879AA06,,atlas(crowd/lighting)?,0A,0x32519000,14893995,67,256x256,DXT1
0xD51983B6,,atlas(crowd/lighting)?,0A,0x3334D800,15465326,66,256x256,DXT1
0xB54D0D90,,atlas(crowd/lighting)?,0A,0x14470800,14284439,65,1024x512,DXT1
0x8AA56B76,,atlas(crowd/lighting)?,0A,0x1E534800,13893666,64,1024x512,DXT1
0xB7C542C6,,atlas(crowd/lighting)?,0A,0x1D7F4000,13893659,64,1024x512,DXT1
0xF0653816,,atlas(crowd/lighting)?,0A,0x1CAB3800,13893682,64,1024x512,DXT1
0x794A3EEC,,atlas(crowd/lighting)?,0A,0x228F2800,13820936,61,256x256,DXT1
0x49877F67,,atlas(crowd/lighting)?,0A,0x11689800,1731819,52,512x512,DXT1
0x0B5585FA,,unknown_texture,0A,0xBB3800,1584105,42,128x128,8
0x87F402ED,,unknown_texture,0A,0xD36800,1567112,42,128x128,8
0x9712B37F,,unknown_texture,0A,0x732000,1571775,42,128x128,8
0xAE6DC34C,,unknown_texture,0A,0x8B2000,1567580,42,128x128,8
0xC0652A80,,unknown_texture,0A,0xA31000,1581389,42,128x128,8
0x8167DD16,,atlas(crowd/lighting)?,0A,0x2510B000,9982183,18,512x512,DXT1
0x44FA44AD,,unknown_texture,0A,0x2E855000,7005516,12,256x256,DXN
0xEBEC7073,,unknown_texture,0A,0x2D401800,7005570,12,256x256,DXN
0x2CBAE29E,,unknown_texture,0B,0x3747B800,785175,10,512x128,DXT4_5
0x1203DB4C,,unknown_texture,0B,0x3766A800,334675,8,64x64,565
0x4BA500C3,,unknown_texture,0B,0x376BC800,336379,8,64x64,565
0xE69E3391,,unknown_texture,0A,0x429E000,191199,7,256x256,DXT4_5
0x0050D8C1,,uniform_component?,0B,0xF1B3000,2137340,6,2048x512,DXN
0x01F819F1,,uniform_component?,0A,0x5CCF3000,1946582,6,2048x512,DXN
0x0330A0F5,,uniform_component?,0A,0x55F49800,1830077,6,2048x512,DXN
0x038BC52C,,uniform_component?,0A,0x5F438000,2008519,6,2048x512,DXN
0x05193675,uniform_lat_away.iff,uniform,0B,0x9B82000,2142613,6,2048x512,DXN
0x055B8BFD,,uniform_component?,0A,0x5CECE800,1914531,6,2048x512,DXN
0x07285720,,uniform_component?,0A,0x5F9F8000,2010821,6,2048x512,DXN
0x0B5A204E,,uniform_component?,0A,0x5DDB2800,1978201,6,2048x512,DXN
0x0CC4F4B8,,uniform_component?,0A,0x38CA5800,1822395,6,2048x512,DXN
0x0E9A8891,,uniform_component?,0B,0x174C6800,1776449,6,2048x512,DXN
0x0EF0FBC7,,uniform_component?,0A,0x5490B800,1901039,6,2048x512,DXN
0x0FF9B242,,uniform_component?,0A,0x5E351000,1931665,6,2048x512,DXN
0x12B5856C,,uniform_component?,0B,0xA5BC000,2291567,6,2048x512,DXN
0x12F6AF55,,uniform_component?,0A,0x5D275800,1982330,6,2048x512,DXN
0x14256B17,,uniform_component?,0B,0x1322F800,2312341,6,2048x512,DXN
0x142A4603,,uniform_component?,0B,0x17C02800,2009063,6,2048x512,DXN
0x14BE17CD,,uniform_component?,0B,0x13E8B000,2332929,6,2048x512,DXN
0x157E0079,,uniform_component?,0B,0x8E1A800,1814025,6,2048x512,DXN
0x16553D59,,uniform_component?,0A,0x5D818000,1942979,6,2048x512,DXN
0x1673D77F,,uniform_component?,0B,0x15A5E800,2113887,6,2048x512,DXN
0x17EAF8C3,,uniform_component?,0A,0x61478800,1812921,6,2048x512,DXN
0x19307BF5,,uniform_component?,0A,0x6286C000,2031592,6,2048x512,DXN
0x19BD3672,uniform_fra_away.iff,uniform,0A,0x649C9800,1936675,6,2048x512,DXN
0x1A274A37,,uniform_component?,0A,0x60393000,1907295,6,2048x512,DXN
0x1AD20411,,uniform_component?,0B,0xD9AC800,2255437,6,2048x512,DXN
0x1C35F3A8,uniform_aut_home.iff,uniform,0A,0x3A44A800,2110653,6,2048x512,DXN
0x1CC3A4A7,uniform_rus_away.iff,uniform,0B,0x1282C800,1831790,6,2048x512,DXN
0x1E11D259,,uniform_component?,0A,0x5A4B6000,1843005,6,2048x512,DXN
0x1E84D83B,,uniform_component?,0A,0x6091E800,1995831,6,2048x512,DXN
0x1FE2B956,,uniform_component?,0B,0xBC31800,2062386,6,2048x512,DXN
0x1FF989CB,,uniform_component?,0B,0x11781800,1877582,6,2048x512,DXN
0x21AFB163,,uniform_component?,0A,0x5EC86000,1997516,6,2048x512,DXN
0x21EE8883,,uniform_component?,0B,0xFDCB000,2056283,6,2048x512,DXN
0x246DA50B,,uniform_component?,0B,0x1528B000,1788795,6,2048x512,DXN
0x2489E860,,uniform_component?,0A,0x61A8D800,2314501,6,2048x512,DXN
0x24C3BF1E,,uniform_component?,0A,0x57A7C800,1893822,6,2048x512,DXN
0x250C236F,,uniform_component?,0A,0x5F247000,2035553,6,2048x512,DXN
0x26ED7C02,,uniform_component?,0B,0x15851800,2148530,6,2048x512,DXN
0x2855617B,,uniform_component?,0A,0x562C7800,2242587,6,2048x512,DXN
0x2B0D88DC,,uniform_component?,0A,0x5C1B4000,2012921,6,2048x512,DXN
0x2D7DA4AC,,uniform_component?,0A,0x6458D000,2167074,6,2048x512,DXN
0x2E468A93,uniform_sui_home.iff,uniform,0B,0x14708800,1903796,6,2048x512,DXN
0x2F09C6DC,,uniform_component?,0B,0xCB93800,1855442,6,2048x512,DXN
0x3236005D,uniform_cze_away.iff,uniform,0A,0x60B06000,1824308,6,2048x512,DXN
0x32A107C7,,uniform_component?,0A,0x5B2BD000,1996263,6,2048x512,DXN
0x33580390,,uniform_component?,0B,0xE989000,2188958,6,2048x512,DXN
0x34C0D263,,uniform_component?,0B,0x938F000,2021527,6,2048x512,DXN
0x360295CB,,uniform_component?,0A,0x5B4A4800,1958945,6,2048x512,DXN
0x36465FE3,,uniform_component?,0A,0x58FD6800,1915713,6,2048x512,DXN
0x373DB9B1,,uniform_component?,0A,0x54ADC000,2040996,6,2048x512,DXN
0x3A19A5C4,uniform_usa_home.iff,uniform,0B,0x16E99800,2080038,6,2048x512,DXN
0x3EBEC4A1,,uniform_component?,0A,0x6248D800,2079242,6,2048x512,DXN
0x4080B04F,,uniform_component?,0B,0x10907800,2187330,6,2048x512,DXN
0x4222DB4B,,uniform_component?,0B,0x18569000,1866050,6,2048x512,DXN
0x45978E64,,uniform_component?,0A,0x57E19800,2518618,6,2048x512,DXN
0x46067B53,uniform_dmk_home.iff,uniform,0A,0x62C6E800,2172059,6,2048x512,DXN
0x4701B825,uniform_can_away.iff,uniform,0A,0x55731800,1987439,6,2048x512,DXN
0x4754CC9F,,uniform_component?,0B,0x164AF800,2092343,6,2048x512,DXN
0x495D1F5C,,uniform_component?,0B,0x1215A000,2339610,6,2048x512,DXN
0x4A63B010,,uniform_component?,0A,0x5B861800,1981509,6,2048x512,DXN
0x4AE64591,,uniform_component?,0A,0x5828B000,2139553,6,2048x512,DXN
0x4BB7AC82,,uniform_component?,0B,0xAE53000,2146954,6,2048x512,DXN
0x4EC0221C,,uniform_component?,0A,0x5BDF9000,1896538,6,2048x512,DXN
0x50E0E2C4,uniform_ger_home.iff,uniform,0B,0x844A000,1905893,6,2048x512,DXN
0x53CF3F0B,,uniform_component?,0A,0x5C39F800,1920650,6,2048x512,DXN
0x5708E0E3,,uniform_component?,0A,0x564EB800,2166209,6,2048x512,DXN
0x576CAD07,,uniform_component?,0A,0x5C930800,1993044,6,2048x512,DXN
0x599CE992,,uniform_component?,0B,0x1076D800,1678556,6,2048x512,DXN
0x59FB2D54,,uniform_component?,0B,0x10B1E000,1934951,6,2048x512,DXN
0x5D7D8525,,uniform_component?,0A,0x5AA91000,2027669,6,2048x512,DXN
0x5E47DC82,,uniform_component?,0B,0xC800000,1658890,6,2048x512,DXN
0x619BF206,,uniform_component?,0B,0xB82D000,2147993,6,2048x512,DXN
0x61C05CC8,,uniform_component?,0B,0x17DED000,2019570,6,2048x512,DXN
0x624CFC5B,uniform_2k_home.iff,uniform,0A,0x386C2800,2350930,6,2048x512,DXN
0x649A6548,,uniform_component?,0A,0x595F0000,2160059,6,2048x512,DXN
0x65612E70,uniform_fin_away.iff,uniform,0A,0x63B2D000,2042503,6,2048x512,DXN
0x680F10E2,,uniform_component?,0A,0x5A678000,2266557,6,2048x512,DXN
0x688857F5,uniform_bel_away.iff,uniform,0A,0x53426000,1991639,6,2048x512,DXN
0x69CEFEA2,,uniform_component?,0B,0xE7B3000,1923199,6,2048x512,DXN
0x6C16D3DC,uniform_swe_home.iff,uniform,0B,0x14AC9000,2028526,6,2048x512,DXN
0x6CC32958,,uniform_component?,0A,0x56F76800,2274996,6,2048x512,DXN
0x6E1E0D37,,uniform_component?,0B,0x11D52000,2112632,6,2048x512,DXN
0x6E5BC56D,,uniform_component?,0B,0x9190800,2089746,6,2048x512,DXN
0x6E978A8E,,uniform_component?,0A,0x5D9F2800,1966011,6,2048x512,DXN
0x6F48EF49,uniform_kaz_away.iff,uniform,0B,0x861B800,2050621,6,2048x512,DXN
0x6F4F73E0,uniform_slo_away.iff,uniform,0B,0x1368E800,1814987,6,2048x512,DXN
0x6FB04FB3,,uniform_component?,0B,0xE213000,1914295,6,2048x512,DXN
0x6FED7A93,,uniform_component?,0A,0x53EA7000,2266303,6,2048x512,DXN
0x711A1F60,,uniform_component?,0B,0xB664800,1868035,6,2048x512,DXN
0x721D4CC4,uniform_eca_alt.iff,uniform,0A,0x62E81000,1808288,6,2048x512,DXN
0x73117ED7,,uniform_component?,0A,0x54CCE800,2208954,6,2048x512,DXN
0x73989799,,uniform_component?,0A,0x5E704000,1944391,6,2048x512,DXN
0x75390C30,,uniform_component?,0A,0x39C32800,2097646,6,2048x512,DXN
0x773B0595,,uniform_component?,0A,0x5E8DF000,1914278,6,2048x512,DXN
0x77AD7195,,uniform_component?,0A,0x591AA800,2316920,6,2048x512,DXN
0x7802ED48,,uniform_component?,0A,0x3945F000,2008061,6,2048x512,DXN
0x78653E8E,,uniform_component?,0A,0x634DD000,2300248,6,2048x512,DXN
0x7885F0E2,,uniform_component?,0A,0x61633800,2246611,6,2048x512,DXN
0x797EEB0B,,uniform_component?,0B,0xC995800,2088119,6,2048x512,DXN
0x79A8B44B,,uniform_component?,0B,0x125D3800,2461024,6,2048x512,DXN
0x7B19C9DB,uniform_ukr_away.iff,uniform,0B,0x168AC800,2065228,6,2048x512,DXN
0x7B4972FB,,uniform_component?,0A,0x5FDC4000,1970174,6,2048x512,DXN
0x7F7A7A9A,,uniform_component?,0A,0x39250000,2158359,6,2048x512,DXN
0x7FEAE0F7,,uniform_component?,0A,0x5FFA5000,2058457,6,2048x512,DXN
0x80114508,uniform_fra_home.iff,uniform,0A,0x64BA2800,1935454,6,2048x512,DXN
0x837E776B,,uniform_component?,0B,0xD785800,2255445,6,2048x512,DXN
0x838B394D,,uniform_component?,0A,0x60565000,1907295,6,2048x512,DXN
0x848731CE,uniform_wca_alt.iff,uniform,0B,0x181E6000,1818526,6,2048x512,DXN
0x856FD7DD,uniform_rus_home.iff,uniform,0B,0x129EC000,1831790,6,2048x512,DXN
0x859980D2,uniform_aut_away.iff,uniform,0A,0x3A246800,2113266,6,2048x512,DXN
0x864ECA2C,,uniform_component?,0B,0xBA39800,2062386,6,2048x512,DXN
0x8655FAB1,,uniform_component?,0B,0x1194C000,1877582,6,2048x512,DXN
