crc32,archive,local_off,size,ntex,sample_dims_fmt
0xE879AA06,0A,0x32519000,14893995,67,256x256:DXT1;256x256:DXN;128x128:8_8;256x256:8;1024x512:DXT1;1024x512:DXN
0xD51983B6,0A,0x3334D800,15465326,66,256x256:DXT1;256x256:DXN;128x128:8_8;256x256:8;1024x512:DXT1;1024x512:DXN
0xB54D0D90,0A,0x14470800,14284439,65,1024x512:DXT1;1024x512:DXN;128x128:8_8;256x256:8;128x256:DXT1;128x256:DXN
0x8AA56B76,0A,0x1E534800,13893666,64,1024x512:DXT1;1024x512:DXN;128x128:8_8;256x256:8;128x256:DXT1;128x256:DXN
0xB7C542C6,0A,0x1D7F4000,13893659,64,1024x512:DXT1;1024x512:DXN;128x128:8_8;256x256:8;128x256:DXT1;128x256:DXN
0xF0653816,0A,0x1CAB3800,13893682,64,1024x512:DXT1;1024x512:DXN;128x128:8_8;256x256:8;128x256:DXT1;128x256:DXN
0x794A3EEC,0A,0x228F2800,13820936,61,256x256:DXT1;512x512:DXT1;256x256:DXN;128x128:8_8;256x256:8;256x256:DXT1
0x49877F67,0A,0x11689800,1731819,52,512x512:DXT1;64x64:565;512x128:DXT4_5;512x128:DXT4_5;256x256:DXT4_5;512x128:DXT1
0x0B5585FA,0A,0xBB3800,1584105,42,128x128:8;256x256:DXT4_5;128x128:8;128x32:8_8;512x128:DXT4_5;256x256:DXT4_5
0x87F402ED,0A,0xD36800,1567112,42,128x128:8;256x256:DXT4_5;128x128:8;128x32:8;512x128:DXT4_5;256x256:DXT4_5
0x9712B37F,0A,0x732000,1571775,42,128x128:8;256x256:DXT4_5;128x128:8;128x32:8;512x128:DXT4_5;256x256:DXT4_5
0xAE6DC34C,0A,0x8B2000,1567580,42,128x128:8;256x256:DXT4_5;128x128:8;128x32:8;512x128:DXT4_5;256x256:DXT4_5
0xC0652A80,0A,0xA31000,1581389,42,128x128:8;256x256:DXT4_5;128x128:8;128x32:8;512x128:DXT4_5;256x256:DXT4_5
0x8167DD16,0A,0x2510B000,9982183,18,512x512:DXT1;512x512:DXN;128x128:8_8;256x256:8;512x512:DXT1;512x512:DXT1
0x44FA44AD,0A,0x2E855000,7005516,12,256x256:DXN;128x128:8;1024x1024:8888;512x512:8;512x512:DXT1;256x256:DXN
0xEBEC7073,0A,0x2D401800,7005570,12,256x256:DXN;128x128:8;1024x1024:8888;512x512:8;512x512:DXT1;256x256:DXN
0x2CBAE29E,0B,0x3747B800,785175,10,512x128:DXT4_5;256x256:DXT4_5;512x512:DXT4_5;256x256:DXT4_5;256x256:DXT1;64x64:8_8
0x1203DB4C,0B,0x3766A800,334675,8,64x64:565;64x64:8_8;64x64:8;64x64:565;512x128:DXT4_5;256x256:DXT4_5
